Episode: 669
Title: HPR0669: QSK Netcast 6: The Origin of Open Source
Source: https://hub.hackerpublicradio.org/ccdn.php?filename=/eps/hpr0669/hpr0669.mp3
Transcribed: 2025-10-08 00:43:34

---

You're listening to syndicated Thursday on Hacker Public Radio.
Today we're going to take an episode from the QSK neckcast, originally aired on October
15, 2010.
This is a talk that Ros gave at the Ohio Linux Fest 2010, and it's entitled The Origins
of Open Source.
And it's apt that we're talking about Linux Fest, as I would like to take a moment to
ask you for some help.
The Linux Fest northwest is going ahead in Bellingham, Washington, on the 30th of April
to the 1st of May, 2011.
And we are going to be represented by a booth.
You can get more information at the northeastlinxfest.org.
And we would like some help in finding people to come and join our team at the tables,
and some finding, some equipment, and if you have any more ideas for tables.
If you would like to have more information about this, if you can go to the Hacker Public
Radio.org website, and hopefully we'll have some information available for you there.
So if you would like, if you're in the Washington area, anywhere near this festival, it would
be a cool festival to attend, and if you're interested in helping us out and meeting
some of the hosts here at HBR, please feel free to come up and say hello.
There's going to be stickers and possibly some business cards available for you on the
day.
We're actually running competition for business cards that are going to be hopefully
printed and distributed over there on that day.
So if you are good with art in any way and want to put some together, the front, we can
have ten, a hundred different versions for the front of the business cards.
So if you want to make your mark on HBR, now is a green to do it.
And now, back to the show.
Welcome to the Black Sparrow video, you don't have broadcast network.
Scale of the citizens today, 27 years after the foundation
of the Free Software Foundation,
and the surgeons and the insurgents
are more of this.
So, Mr. President Cross,
if you remember me, in software,
we were able to run out of the source
with a little extra money at least.
We love stuff that's free and free as it would be here.
Free is a bit of a downgrade.
But real freedom in the open source
is the freedom from patents and conferences.
The thing is that it keeps technology down.
It keeps that open source religion
and that socialism and finance can happen.
The second moment in the lemur section,
please take that card.
This is why I had thoughts.
Software patents are people and grants.
Do whatever you can, my friend.
And if you've got it,
if you've got it all,
you can make sure you know more of this large book
which you're looking to have right now,
please give it more.
I believe that free,
you know, it's their software,
is in ultimately a single goal.
But we have to be patient.
We have to not get the rights.
We have to not be in a guy
who's supposed to accept this bill in order to get them.
We have to coexist with our hapless brethren.
We have to not just the people
walking around in the item
while we live around our animals.
I also did it because of the source
of what powerful idea
and because it has more educated matters
that will come out on top of the visual world.
But that's it.
Today, we just go on about our lives
and promote, do, and,
and we'll give everything
that's needed all the experience.
And I'm going to end this topic
because, hopefully not too quickly,
with a little, what kind of 49 seconds
of music gets a little bit,
it gets out of the top,
or what kind of 49 seconds.
Does anybody here familiar with
a group of musicians?
I don't know, I don't know.
Yeah, I don't know.
Okay, so the rest of you
is close to me.
Now, the reason this topic is interesting to be,
is because it's a song about the need
of close to source.
It's about just life.
Specifically, no games.
It's interesting about the song,
because it's not creative thrones.
I have to make permission
from the author to play.
So, once again,
my co-existent,
and that was society,
to bring me something interesting
and not able to walk.
It's also an unique group.
Take that, watch it walk.
This is the case.
No.
It certainly turned out all along.
Try it.
You won't know my plug.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Okay.
Hey.
Okay.
Okay.
Yeah, now, it was at least now, it was going to be on from outside.
But it was sort of a precursor of Linux, it was well developed before the
architecture, the architecture is architecture.
So, it's in that time, it's a lot of criticism, mine's set.
So, I guess that's how it would be.
Well, that did.
Here it is.
Yeah.
Yeah.
Yeah.
Yeah.
Thank you for listening to Half Republic Radio.
HPR is sponsored by Carol.net, so head on over to C-A-R-O dot-E-T for all of us.
Thank you.
